Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,63380.000000,63380.000000,62400.000000,62959.148438,62687.820313,4688
2019-11-14,63068.800781,63700.000000,62785.300781,63621.500000,63347.312500,3395
2019-11-15,63749.050781,64460.250000,63312.300781,63950.500000,63674.886719,3201
2019-11-18,64110.398438,64699.000000,63850.000000,64393.550781,64116.031250,3043
2019-11-19,64440.000000,64440.550781,63420.000000,63539.351563,63265.519531,2672
2019-11-20,63849.000000,64111.949219,62750.199219,63058.449219,62786.691406,2999
2019-11-21,63100.000000,63430.199219,62446.199219,62546.500000,62279.902344,3752
2019-11-22,62546.000000,63100.000000,62500.050781,62651.351563,62384.316406,3155
2019-11-25,62652.000000,63954.000000,62652.000000,63860.148438,63587.957031,5750
2019-11-26,63865.000000,64465.750000,62933.750000,63092.351563,62823.429688,4604
2019-11-27,63100.000000,63496.000000,62851.000000,63004.000000,62735.453125,4315
2019-11-28,63200.000000,64298.898438,62812.000000,63982.601563,63709.890625,4581
2019-11-29,63855.050781,64116.199219,63200.101563,63397.050781,63126.839844,2797
2019-12-02,63397.050781,63597.500000,62550.000000,62723.050781,62455.703125,4456
2019-12-03,62879.050781,63044.199219,61931.449219,62061.699219,61797.171875,4973
2019-12-04,62061.699219,62555.101563,61550.000000,62092.101563,61827.445313,4926
2019-12-05,62380.000000,62597.851563,61575.050781,61760.250000,61497.011719,7439
2019-12-06,62187.898438,62750.000000,61253.398438,61533.199219,61270.925781,6126
2019-12-09,61366.000000,63097.148438,61252.000000,62490.398438,62224.046875,3917
2019-12-10,62400.000000,62458.949219,61525.050781,62070.101563,61805.542969,3345
2019-12-11,62300.000000,62348.949219,61603.300781,62050.199219,61785.726563,2791
